Gioco del Lotto Archivio estrazioni e statistiche (2020)
DATE	Bari					Cagliari					Firenze					Genova					Milano					Napoli					Palermo					Roma					Torino					Venezia					Nazionale
2020-06-27	02	41	33	40	88	33	49	72	78	86	85	02	54	35	12	23	19	20	49	40	09	32	82	04	01	43	47	49	45	03	18	45	79	02	65	21	14	35	09	64	87	59	67	65	81	01	20	55	66	51	47	90	35	48	81
2020-06-25	26	50	20	27	64	52	36	25	37	09	63	31	41	50	07	30	48	85	81	68	80	15	77	29	90	47	67	51	85	80	88	28	46	29	13	89	75	74	46	48	07	22	08	51	11	65	90	14	71	53	56	52	31	86	17
2020-06-23	16	20	55	66	51	65	15	88	51	86	42	38	48	90	14	60	24	09	65	05	20	88	79	73	27	43	09	75	23	02	46	10	38	49	42	70	27	22	40	12	25	28	15	11	66	78	31	47	65	55	42	78	10	65	69
2020-06-20	32	73	29	80	14	41	59	30	79	22	66	47	01	13	49	08	67	13	59	55	13	57	37	53	59	78	18	63	83	61	57	25	26	48	65	90	68	34	54	50	52	74	26	66	44	64	36	74	51	16	75	43	24	25	88
2020-06-18	33	09	46	78	65	37	90	11	58	16	77	49	86	19	73	29	83	53	45	35	19	15	82	41	88	62	65	60	08	66	48	07	74	32	27	44	27	52	31	13	69	37	60	15	81	45	23	90	80	41	05	30	61	78	55
2020-06-16	90	22	52	65	67	26	71	70	49	65	59	40	18	36	42	31	78	08	15	65	58	14	48	05	07	39	46	79	59	19	83	53	13	45	41	37	02	26	28	20	76	18	15	08	67	89	02	46	48	87	24	68	54	31	10
2020-06-13	47	29	83	23	35	52	59	47	90	58	39	27	69	57	66	56	60	84	13	15	61	09	63	14	20	71	22	31	34	38	48	77	14	71	61	68	70	10	39	86	20	53	90	69	66	84	28	05	13	56	57	07	52	84	75
2020-06-11	48	33	53	35	86	01	40	18	28	05	67	09	35	47	64	19	25	31	27	42	40	72	02	05	44	47	62	84	66	14	32	66	01	80	56	10	30	81	03	57	88	64	15	46	02	41	80	35	42	68	15	82	77	28	66
2020-06-09	43	81	72	33	69	50	68	89	13	28	80	06	24	46	14	52	66	01	71	27	62	20	13	15	66	03	75	47	72	31	81	52	47	38	77	01	45	79	89	31	87	49	38	68	28	70	07	74	54	26	20	05	74	82	70
2020-06-06	68	48	37	22	27	33	52	81	56	03	73	81	75	67	35	27	54	21	40	72	31	11	58	16	79	23	88	80	73	28	77	59	02	03	04	68	85	73	24	34	25	46	17	52	84	15	60	64	51	72	03	46	25	09	05
2020-06-04	66	16	84	79	42	12	89	70	50	65	10	14	28	58	27	74	68	77	64	31	85	64	15	67	28	33	80	12	11	20	42	24	79	45	48	52	77	39	01	56	66	20	62	64	26	31	30	66	68	88	25	10	89	39	18
2020-06-03	31	54	23	65	77	25	89	33	52	10	44	02	15	55	90	52	19	86	46	51	51	89	79	75	27	09	56	35	85	28	38	86	19	61	41	80	40	70	06	69	31	72	82	50	20	45	82	52	12	89	31	09	22	15	46
2020-05-30	60	36	84	30	73	41	42	31	55	70	66	79	32	77	55	54	83	39	65	43	21	53	19	90	63	41	02	58	85	03	52	45	10	14	40	32	27	36	15	13	66	49	45	55	81	02	12	77	88	54	82	79	33	55	45
2020-05-28	40	58	46	71	84	73	29	19	24	27	13	58	39	36	19	68	63	58	55	31	78	18	09	75	80	41	62	21	79	25	89	25	87	67	27	57	58	66	41	68	06	87	20	02	46	90	16	77	52	26	54	26	52	49	60
2020-05-26	13	73	68	49	31	90	88	33	21	46	46	15	58	02	32	20	12	83	89	31	35	85	49	20	37	15	72	84	13	75	44	60	49	29	24	44	45	36	54	61	35	70	76	51	33	68	50	82	34	25	70	52	37	76	45
2020-05-23	74	84	56	90	38	18	45	08	25	01	26	58	37	54	20	15	36	73	48	74	12	34	48	02	36	07	53	88	34	75	39	51	87	01	31	58	49	82	13	11	37	69	74	57	29	78	28	48	27	18	38	59	69	01	61
2020-05-21	83	54	02	55	33	40	13	14	52	76	89	81	59	76	69	35	36	06	23	40	49	13	61	05	65	25	39	70	46	88	26	63	49	35	20	20	36	81	44	37	28	51	43	82	37	54	81	25	04	67	09	18	85	69	17
2020-05-19	34	32	33	74	57	29	86	69	13	84	10	22	37	47	42	80	72	62	73	56	45	50	49	80	31	20	01	59	65	83	41	78	25	69	36	59	45	55	14	22	21	06	65	02	78	47	70	40	43	81	80	48	74	10	09
2020-05-16	10	51	14	62	64	72	54	24	03	32	06	41	30	75	87	82	57	29	66	42	10	64	25	73	65	75	70	32	30	64	67	68	08	05	85	40	90	02	35	48	39	77	34	53	54	09	66	25	34	15	63	71	25	75	23
2020-05-14	13	31	02	32	78	30	22	35	16	34	82	87	41	12	34	34	78	42	22	76	77	76	54	42	08	07	43	88	76	77	58	60	02	68	14	63	43	49	18	40	16	34	20	33	69	42	51	87	13	59	89	67	79	78	43
2020-05-12	31	27	40	04	54	03	21	09	83	31	18	45	23	31	68	12	63	73	14	35	03	44	46	85	27	18	07	35	40	45	71	89	86	65	18	86	82	65	47	26	56	64	13	32	16	62	61	37	78	06	79	70	16	08	04
2020-05-09	49	84	21	79	67	26	31	62	10	25	11	16	28	61	59	69	34	70	71	26	55	20	06	72	54	45	63	79	14	85	07	76	24	52	50	11	22	56	40	32	03	51	41	65	21	50	83	54	43	53	51	20	02	27	65
2020-05-07	72	60	88	21	80	48	58	13	55	36	68	69	03	49	56	49	66	07	33	27	15	24	48	25	22	46	49	88	56	38	18	22	23	90	19	40	32	56	46	75	73	87	23	34	53	78	54	24	37	08	58	73	51	21	30
2020-05-05	08	17	27	62	14	53	84	11	48	13	60	18	85	15	09	84	69	40	10	13	78	28	51	20	56	08	15	39	63	78	68	61	77	78	05	55	46	83	79	70	60	79	14	32	56	87	32	27	78	59	68	32	48	21	35
2020-03-21	21	31	89	15	41	62	25	09	35	11	73	26	61	83	87	63	16	21	15	81	85	36	06	45	89	25	09	52	79	43	12	52	78	81	65	90	34	86	14	41	53	81	05	33	30	24	41	76	10	37	61	41	89	50	16
2020-03-19	32	02	61	56	52	50	04	71	45	53	05	80	21	22	66	68	60	01	76	14	86	89	09	35	27	20	03	11	75	78	75	50	86	78	13	89	34	76	10	50	61	44	77	02	32	38	64	37	70	65	47	37	34	22	87
2020-03-17	44	67	16	34	66	59	40	69	80	06	52	68	65	21	51	58	14	23	37	74	44	52	56	19	76	32	15	46	22	84	59	32	27	58	01	68	12	07	32	11	01	78	44	86	87	80	32	56	53	77	16	72	89	63	90
2020-03-14	83	07	32	65	79	18	45	76	77	09	31	15	77	13	37	11	04	22	45	23	25	66	76	16	33	54	58	60	30	47	20	26	58	57	29	20	56	34	82	70	87	60	18	51	12	32	47	66	21	68	62	08	84	75	41
2020-03-12	81	30	04	29	82	63	64	62	79	90	11	26	07	68	40	51	28	76	52	42	83	04	49	63	82	31	77	48	40	39	74	45	66	58	82	80	70	50	33	45	46	42	74	03	78	70	34	31	80	46	66	48	50	55	57
2020-03-10	84	44	32	58	35	73	30	63	43	44	17	82	54	71	32	77	31	27	16	21	54	14	46	70	31	44	29	13	30	46	07	83	43	10	30	64	77	25	44	09	90	49	75	55	04	02	28	30	58	43	89	36	22	60	20
2020-03-07	54	87	51	17	48	63	56	03	09	83	74	13	61	16	90	13	34	02	35	10	05	50	04	19	49	06	51	87	41	18	38	54	09	87	24	26	47	23	85	62	53	75	25	36	26	89	78	74	83	60	83	68	30	46	06
